Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perception of corruption
Mauritius,Sub-Saharan Africa,6.101299763,49,1.07366395,66.40434265,0.889534533,0.805343091
Mexico,Latin America and Caribbean,6.465000153,24,1.024387479,68.29902649,0.858709276,0.806821585
Moldova,Commonwealth of Independent States,5.607500076,70,0.707916796,65.01301575,0.721609175,0.913314283
Mongolia,East Asia,5.456200123,81,0.904872775,62.30448532,0.693351328,0.863511205
Montenegro,Central and Eastern Europe,5.54610014,72,1.010150075,68.50534821,0.649565637,0.783121586
Morocco,Middle East and North Africa,5.094799995,97,0.75862211,65.89624023,0.772072434,0.815724611
Mozambique,Sub-Saharan Africa,4.623600006,120,0.178741366,54.20582199,0.864451885,0.683019102
Myanmar,Southeast Asia,4.308000088,133,0.67809093,58.96171188,0.895075202,0.645124316
Namibia,Sub-Saharan Africa,4.571100235,122,0.84008199,56.50148773,0.767520964,0.851449788
Nepal,South Asia,5.137199879,92,0.444050372,63.77917862,0.797565043,0.738099158
Netherlands,Western Europe,7.448900223,6,1.338946342,72.30091858,0.908547819,0.364717126
New Zealand,North America and ANZ,7.299600124,8,1.242317915,73.20262909,0.936217487,0.22113885
Nicaragua,Latin America and Caribbean,6.13710022,46,0.620033145,67.50717926,0.863902867,0.665950119
Niger,Sub-Saharan Africa,4.909599781,103,0.108330332,53.50009537,0.759772122,0.722530186
Nigeria,Sub-Saharan Africa,4.724100113,115,0.645901859,49.86190796,0.759578407,0.861874342
North Cyprus,Western Europe,5.53550005,76,1.21279943,73.70222473,0.79529351,0.62611568
Norway,Western Europe,7.487999916,5,1.42420733,73.20078278,0.955750287,0.263218194
Pakistan,South Asia,5.69329977,66,0.616799474,58.25313568,0.734833717,0.745705426
Palestinian Territories,Middle East and North Africa,4.552800179,125,0.587819219,62.25,0.645791829,0.824199975
Panama,Latin America and Caribbean,6.304800034,36,1.097667813,69.60301208,0.880366504,0.851588905
Paraguay,Latin America and Caribbean,5.692100048,67,0.897990823,65.63993835,0.885923445,0.834788501
Peru,Latin America and Caribbean,5.796800137,63,0.91854918,68.10023499,0.824766099,0.893714964
Philippines,Southeast Asia,6.006000042,52,0.775120676,61.92676163,0.915463448,0.733634114
Poland,Central and Eastern Europe,6.186299801,43,1.16922915,69.31113434,0.862055779,0.686927021
Portugal,Western Europe,5.910900116,59,1.168800831,72.40202332,0.888747811,0.892629504
Romania,Central and Eastern Europe,6.123700142,47,1.120401621,67.20723724,0.842823207,0.934300244
Russia,Commonwealth of Independent States,5.546000004,73,1.126999617,64.10045624,0.729892612,0.864802599
Rwanda,Sub-Saharan Africa,3.312299967,150,0.343242675,61.09884644,0.900589406,0.183541179
Saudi Arabia,Middle East and North Africa,6.406499863,27,1.334328532,66.30514526,0.854191244,0.682619512
Senegal,Sub-Saharan Africa,4.980800152,101,0.504061818,59.59915161,0.690596163,0.808785141
Serbia,Central and Eastern Europe,5.77820015,64,0.988181829,68.21020508,0.726495862,0.843509018
Sierra Leone,Sub-Saharan Africa,3.926399946,139,0.240560383,50.86514282,0.715315044,0.861330688
Singapore,Southeast Asia,6.377099991,31,1.519580126,76.80458069,0.926645339,0.109784193
Slovakia,Central and Eastern Europe,6.280600071,37,1.194837689,68.90634155,0.749952674,0.918096125
Slovenia,Central and Eastern Europe,6.363399982,33,1.208652496,71.1029892,0.936142623,0.817071021
South Africa,Sub-Saharan Africa,4.814099789,109,0.902140439,56.50601196,0.759330094,0.843423843
South Korea,East Asia,5.872399807,61,1.245300651,73.6027298,0.612965107,0.789067447
South Sudan,Sub-Saharan Africa,2.816600084,152,0.289082974,51,0.451313615,0.763417304
Spain,Western Europe,6.400899887,28,1.230535269,74.40270996,0.751989543,0.765859902
Sri Lanka,South Asia,4.327000141,130,0.897986948,67.20006561,0.837633669,0.859001756
Swaziland,Sub-Saharan Africa,4.308100224,132,0.827539742,51.18823624,0.646822274,0.708263338
Sweden,Western Europe,7.353499889,7,1.322235227,72.60076904,0.939144194,0.250880182
Switzerland,Western Europe,7.559899807,3,1.39077425,74.10244751,0.921336651,0.303728431
Taiwan Province of China,East Asia,6.45539999,25,1.327470541,69.59999847,0.77153033,0.73188293
Tajikistan,Commonwealth of Independent States,5.555699825,71,0.474874616,64.10459137,0.831383407,0.592076063
Tanzania,Sub-Saharan Africa,3.476200104,148,0.457163125,57.49607468,0.82153976,0.619799435
Thailand,Southeast Asia,5.998799801,54,1.007029295,67.25059509,0.905063033,0.886272311
Togo,Sub-Saharan Africa,4.187200069,135,0.268116266,54.71989822,0.649828613,0.757733464
Trinidad and Tobago,Latin America and Caribbean,6.191899776,42,1.167641521,63.5,0.857907116,0.912230611
Tunisia,Middle East and North Africa,4.392199993,128,0.874742687,66.89785767,0.593361557,0.867590249
Turkey,Middle East and North Africa,5.131800175,93,1.127169251,66.90281677,0.608830452,0.748197377
Turkmenistan,Commonwealth of Independent States,5.119100094,95,1.008963585,62.21170807,0.826457024,0.883691847
Uganda,Sub-Saharan Africa,4.43200016,126,0.312337428,55.70820236,0.731713951,0.836737812
Ukraine,Commonwealth of Independent States,4.56069994,123,0.780434608,64.60678101,0.663081884,0.920636714
United Arab Emirates,Middle East and North Africa,6.790800095,21,1.431086421,67.08278656,0.941345513,0.594502211
United Kingdom,Western Europe,7.164500237,13,1.273061037,72.30160522,0.834743679,0.435915917
United States,North America and ANZ,6.939599991,18,1.37398684,68.29949951,0.842619538,0.699715316
Uruguay,Latin America and Caribbean,6.440100193,26,1.071000457,69.00254822,0.892395437,0.635994136
Uzbekistan,Commonwealth of Independent States,6.257599831,38,0.696652949,65.10757446,0.974998116,0.501497388
Venezuela,Latin America and Caribbean,5.053199768,99,0.770238638,66.50534058,0.62327832,0.837038398
Vietnam,Southeast Asia,5.353499889,83,0.718092382,67.9527359,0.939592957,0.79642123
Yemen,Middle East and North Africa,3.527400017,146,0.392701775,56.72728348,0.599920273,0.800287724
Zambia,Sub-Saharan Africa,3.759399891,141,0.536833763,55.29937744,0.806500256,0.801289678
Zimbabwe,Sub-Saharan Africa,3.299200058,151,0.425564021,55.61725998,0.711457908,0.81023699
