Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perception of corruption
Afghanistan,South Asia,2.566900015,153,0.30070585,52.59000015,0.396573007,0.933686554
Albania,Central and Eastern Europe,4.882699966,105,0.906653047,68.70813751,0.781994224,0.896303713
Algeria,Middle East and North Africa,5.005099773,100,0.943856001,65.90517426,0.466610909,0.735485137
Argentina,Latin America and Caribbean,5.974699974,55,1.028465629,68.80380249,0.831132412,0.842009842
Armenia,Commonwealth of Independent States,4.676799774,116,0.808262408,66.75065613,0.712017834,0.773544788
Australia,North America and ANZ,7.222799778,12,1.310396433,73.60453796,0.915431738,0.41516912
Austria,Western Europe,7.294199944,9,1.317285538,73.00250244,0.899989486,0.499954879
Azerbaijan,Commonwealth of Independent States,5.164800167,89,0.990272701,65.50839996,0.786824107,0.55253756
Bahrain,Middle East and North Africa,6.227300167,40,1.296692252,68.5,0.905855775,0.7393471
Bangladesh,South Asia,4.832799911,107,0.556156278,64.50306702,0.90062499,0.661843538
Belarus,Commonwealth of Independent States,5.539899826,75,1.018854499,66.10433197,0.639163077,0.63571167
Belgium,Western Europe,6.863500118,20,1.295842767,72.00164795,0.813582063,0.612297952
Benin,Sub-Saharan Africa,5.21600008,86,0.366244704,54.31246567,0.735182583,0.740532577
Bolivia,Latin America and Caribbean,5.747499943,65,0.730976343,63.6004715,0.875873327,0.822606206
Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,69,0.91839546,67.80813599,0.651352704,0.933769107
Botswana,Sub-Saharan Africa,3.478899956,147,0.997548997,58.92445374,0.821328104,0.777930915
Brazil,Latin America and Caribbean,6.375599861,32,0.952679873,66.48016357,0.799804807,0.770601273
Bulgaria,Central and Eastern Europe,5.101500034,96,1.046554685,66.80397797,0.745178163,0.935585141
Burkina Faso,Sub-Saharan Africa,4.768700123,112,0.302467644,53.88945389,0.665563583,0.739795029
Burundi,Sub-Saharan Africa,3.775300026,140,0,53.40000153,0.626350224,0.606934547
Cambodia,Southeast Asia,4.848400116,106,0.544634938,61.52996826,0.959704638,0.822769046
Cameroon,Sub-Saharan Africa,5.084899902,98,0.503958046,52.7049408,0.763051808,0.851336598
Canada,North America and ANZ,7.23210001,11,1.301647663,73.60160065,0.933913231,0.390843362
Central African Republic,Sub-Saharan Africa,3.475899935,149,0.041072082,45.20000076,0.640880644,0.891806662
Chad,Sub-Saharan Africa,4.422699928,127,0.302287489,48.22053909,0.587305248,0.802760839
Chile,Latin America and Caribbean,6.228499889,39,1.096992493,69.90061951,0.744896293,0.838239431
China,East Asia,5.123899937,94,0.990533412,69.2891922,0.898517907,0.7539711
Colombia,Latin America and Caribbean,6.163400173,44,0.93220371,67.69958496,0.836179912,0.86457181
Comoros,Sub-Saharan Africa,4.288599968,134,0.415620774,57.34901047,0.547612607,0.780622602
Congo (Brazzaville),Sub-Saharan Africa,5.194399834,88,0.633616745,57.92448044,0.719058514,0.751779079
Congo (Kinshasa),Sub-Saharan Africa,4.31099987,131,0.062487468,52.90000153,0.700793564,0.809403598
Costa Rica,Latin America and Caribbean,7.121399879,15,0.981107712,71.29985046,0.934738934,0.786332428
Croatia,Central and Eastern Europe,5.504700184,79,1.109024286,70.21490479,0.714838803,0.916495264
Cyprus,Western Europe,6.15899992,45,1.21279943,73.70222473,0.779858291,0.856271744
Czech Republic,Central and Eastern Europe,6.910900116,19,1.212322354,70.04793549,0.818537354,0.85844624
Denmark,Western Europe,7.645599842,2,1.326948524,72.40250397,0.951444268,0.168489456
Dominican Republic,Latin America and Caribbean,5.689199924,68,0.983191848,65.80748749,0.866202772,0.755999923
Ecuador,Latin America and Caribbean,5.925199986,58,0.853383601,68.50003815,0.859828949,0.801215112
Egypt,Middle East and North Africa,4.151400089,138,0.875228941,61.78015137,0.708354175,0.787726879
El Salvador,Latin America and Caribbean,6.34829998,34,0.748940408,66.10826111,0.833805263,0.754319906
Estonia,Central and Eastern Europe,6.021800041,51,1.192441225,68.60495758,0.87770915,0.623073816
Ethiopia,Sub-Saharan Africa,4.186200142,136,0.315125644,58.63959122,0.740795195,0.753690004
Finland,Western Europe,7.808700085,1,1.285189509,71.9008255,0.949172199,0.195444584
France,Western Europe,6.663799763,23,1.268129349,73.80193329,0.825467646,0.583521128
Gabon,Sub-Saharan Africa,4.829299927,108,0.988044381,59.71533966,0.704829216,0.849150956
Gambia,Sub-Saharan Africa,4.750599861,113,0.256990552,55.0120163,0.733163178,0.690717816
Georgia,Commonwealth of Independent States,4.672599792,117,0.847198069,64.49520874,0.801641524,0.665944695
Germany,Western Europe,7.075799942,17,1.314184546,72.20201874,0.867371082,0.456422031
Ghana,Sub-Saharan Africa,5.147999763,91,0.575862467,57.20398712,0.794796526,0.847964764
Greece,Western Europe,5.514999866,77,1.128070116,72.40525818,0.541345119,0.859931409
Guatemala,Latin America and Caribbean,6.398900032,29,0.753815711,64.8089447,0.908147573,0.783237457
Guinea,Sub-Saharan Africa,4.949299812,102,0.390007734,54.46780014,0.706846774,0.761794448
Haiti,Latin America and Caribbean,3.720799923,142,0.284734428,55.59862518,0.537825167,0.684767246
Honduras,Latin America and Caribbean,5.953199863,56,0.598763585,67.19876862,0.870603263,0.801131904
Hong Kong S.A.R. of China,East Asia,5.510399818,78,1.376746058,76.77170563,0.779833794,0.420607209
Hungary,Central and Eastern Europe,6.000400066,53,1.164307117,67.60997009,0.718964577,0.892916501
Iceland,Western Europe,7.504499912,4,1.326501608,73,0.948891878,0.711709738
India,South Asia,3.573299885,144,0.730576158,60.21518707,0.881444871,0.772042692
Indonesia,Southeast Asia,5.285600185,84,0.891720712,62.15584946,0.870614409,0.876296401
Iran,Middle East and North Africa,4.672399998,118,1.029322505,66.00614929,0.647873282,0.714635968
Iraq,Middle East and North Africa,4.784800053,110,0.982018709,59.90354919,0.633182645,0.82226181
Ireland,Western Europe,7.093699932,16,1.446886778,72.30078888,0.886982977,0.357184172
Israel,Middle East and North Africa,7.128600121,14,1.216463685,73.20025635,0.747580588,0.78085506
Italy,Western Europe,6.38740015,30,1.236396074,73.60168457,0.66465199,0.873404682
Ivory Coast,Sub-Saharan Africa,5.233300209,85,0.537094414,49.50377274,0.727909327,0.790771961
Jamaica,Latin America and Caribbean,5.889800072,60,0.779058397,67.09999847,0.858068526,0.888890028
Japan,East Asia,5.870800018,62,1.26672411,75.00096893,0.809961379,0.654558063
Jordan,Middle East and North Africa,4.633399963,119,0.785179198,66.79975128,0.75104779,0.700344324
Kazakhstan,Commonwealth of Independent States,6.057899952,50,1.122594237,64.60996246,0.811601937,0.764490843
Kenya,Sub-Saharan Africa,4.583000183,121,0.476413399,60.09693146,0.829747558,0.831499159
Kosovo,Central and Eastern Europe,6.325200081,35,0.840481341,63.88555527,0.861535907,0.922328293
Kuwait,Middle East and North Africa,6.102099895,48,1.424833655,66.76764679,0.872366488,0.760849059
Kyrgyzstan,Commonwealth of Independent States,5.541500092,74,0.513180971,64.10601044,0.909374893,0.888396084
Laos,Southeast Asia,4.888599873,104,0.714693844,58.70992279,0.907213569,0.634679317
Latvia,Central and Eastern Europe,5.949999809,57,1.14139545,66.8074646,0.671237648,0.795580089
Lebanon,Middle East and North Africa,4.771500111,111,0.889232516,67.10658264,0.551357508,0.90225625
Lesotho,Sub-Saharan Africa,3.652800083,143,0.45493874,48.00362396,0.738125861,0.857392073
Liberia,Sub-Saharan Africa,4.557899952,124,0.174103007,56.09631348,0.735268712,0.856375933
Libya,Middle East and North Africa,5.488800049,80,1.021913767,62.29999924,0.773157001,0.668779135
Lithuania,Central and Eastern Europe,6.215499878,41,1.193559647,67.29407501,0.747381449,0.809583843
Luxembourg,Western Europe,7.237500191,10,1.536676049,72.59999847,0.90563643,0.367084295
Macedonia,Central and Eastern Europe,5.159800053,90,0.935371995,67.50442505,0.738840938,0.897490501
Madagascar,Sub-Saharan Africa,4.165599823,137,0.244553208,59.10542679,0.557574093,0.817485631
Malawi,Sub-Saharan Africa,3.538000107,145,0.176534727,57.59288788,0.803223193,0.731700778
Malaysia,Southeast Asia,5.384300232,82,1.168421626,67.10215759,0.894626856,0.839302301
Maldives,South Asia,5.197599888,87,0.937864304,70.59999847,0.853962779,0.824211061
Mali,Sub-Saharan Africa,4.729300022,114,0.352462649,51.72698212,0.71156615,0.839328408
Malta,Western Europe,6.772799969,22,1.252513289,72.19999695,0.924911439,0.658547282
Mauritania,Sub-Saharan Africa,4.374599934,129,0.539684892,57.01017761,0.551522553,0.746223509
