Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perception of corruption
Afghanistan,Southern Asia,3.79399991035461,141,0.401477217674255,18.0746778845787,0.106179520487785,0.938842169940472
Albania,Central and Eastern Europe,4.64400005340576,109,0.996192753314972,73.1159746646881,0.381498634815216,0.960135784000158
Algeria,Middle East and Northern Africa,5.87200021743774,53,1.09186446666718,61.7584645748138,0.233335807919502,0.853903889656067
Angola,Sub-Saharan Africa,3.79500007629395,140,0.858428180217743,4.98686656355858,0,0.930279664695263
Argentina,Latin America and Caribbean,6.59899997711182,24,1.18529546260834,69.5137083530426,0.494519203901291,0.940260112285614
Armenia,Central and Eastern Europe,4.37599992752075,121,0.900596737861633,63.7524425983429,0.198303267359734,0.97332557849586
Australia,Australia and New Zealand,7.28399991989136,10,1.484414935112,84.388679265976,0.601607382297516,0.698816269636154
Austria,Western Europe,7.00600004196167,13,1.48709726333618,81.5328419208527,0.567766189575195,0.778939634561539
Azerbaijan,Central and Eastern Europe,5.23400020599365,85,1.15360176563263,54.0775775909424,0.398155838251114,0.819012492895126
Bahrain,Middle East and Northern Africa,6.08699989318848,41,1.48841226100922,65.3133034706116,0.536746919155121,0.742957830429077
Bangladesh,Southern Asia,4.60799980163574,110,0.586682975292206,53.3241033554077,0.478356659412384,0.876282140612602
Belarus,Central and Eastern Europe,5.56899976730347,67,1.15655755996704,63.7714266777039,0.295400261878967,0.843686178326607
Belgium,Western Europe,6.89099979400635,17,1.46378076076508,81.8091869354248,0.539770722389221,0.748656868934631
Belize,,5.95599985122681,50,0.907975316047668,45.0191766023636,0.547509372234344,0.903418928384781
Benin,Sub-Saharan Africa,3.65700006484985,143,0.431085407733917,20.9930211305618,0.425962775945663,0.939070984721184
Bhutan,Southern Asia,5.01100015640259,97,0.885416388511658,49.5879292488098,0.501537680625916,0.826619610190392
Bolivia,Latin America and Caribbean,5.82299995422363,58,0.833756566047668,47.3630249500275,0.558732926845551,0.93952227383852
Bosnia and Herzegovina,Central and Eastern Europe,5.18200016021729,90,0.982409417629242,70.5186307430267,0.204403176903725,1
Botswana,Sub-Saharan Africa,3.76600003242493,142,1.12209415435791,34.1755509376526,0.505196332931519,0.901416800916195
Brazil,Latin America and Caribbean,6.63500022888184,22,1.10735321044922,61.6552352905273,0.437453746795654,0.888907238841057
Bulgaria,Central and Eastern Europe,4.71400022506714,105,1.1614590883255,70.8217680454254,0.289231717586517,0.988948469050229
Burkina Faso,Sub-Saharan Africa,4.03200006484985,134,0.3502277135849,21.5844258666039,0.324367851018906,0.879671894013882
Burundi,Sub-Saharan Africa,2.90499997138977,154,0.091622568666935,15.1610791683197,0.0599007532000542,0.915852054953575
Cambodia,Southeastern Asia,4.16800022125244,129,0.601765096187592,42.9783403873444,0.633375823497772,0.931894049048424
Cameroon,Sub-Saharan Africa,4.69500017166138,107,0.564305365085602,13.2892116904259,0.430388748645782,0.948693368583918
Canada,North America,7.31599998474121,7,1.47920441627502,83.455765247345,0.611100912094116,0.712628483772278
Central African Republic,Sub-Saharan Africa,2.69300007820129,155,0,1.87726859003305,0.270842045545578,0.943434923887253
Chad,Sub-Saharan Africa,3.93600010871887,137,0.438012987375259,4.11347150802612,0.16234202682972,0.94641811773181
Chile,Latin America and Caribbean,6.65199995040894,20,1.25278460979462,81.9479703903198,0.376895278692245,0.917712017893791
China,Eastern Asia,5.27299976348877,79,1.08116579055786,74.1415500640869,0.472787708044052,0.977205725386739
Colombia,Latin America and Caribbean,6.35699987411499,36,1.07062232494354,59.5027923583984,0.477487415075302,0.953331258147955
Congo (Brazzaville),Sub-Saharan Africa,4.29099988937378,124,0.808964252471924,28.995743393898,0.435025870800018,0.920381866395474
Congo (Kinshasa),Sub-Saharan Africa,4.28000020980835,126,0.0921023488044739,19.1407024860382,0.235961347818375,0.939758643507958
Costa Rica,Latin America and Caribbean,7.0789999961853,12,1.10970628261566,75.9509265422821,0.580131649971008,0.899893410503864
Croatia,Central and Eastern Europe,5.29300022125244,77,1.22255623340607,70.1288521289825,0.255772292613983,0.956896889954805
Cyprus,Western Europe,5.62099981307983,65,1.35593807697296,84.471470117569,0.355111539363861,0.958762023597956
Czech Republic,Central and Eastern Europe,6.60900020599365,23,1.35268235206604,75.4444003105164,0.490946173667908,0.963127072900534
Denmark,Western Europe,7.52199983596802,2,1.48238301277161,79.2565524578094,0.626006722450256,0.59922993183136
Dominican Republic,Latin America and Caribbean,5.23000001907349,86,1.07937383651733,57.4873745441437,0.55258983373642,0.886054746806622
Ecuador,Latin America and Caribbean,6.00799989700317,44,1.00082039833069,68.5636222362518,0.4551981985569,0.859865352511406
Egypt,Middle East and Northern Africa,4.7350001335144,104,0.989701807498932,52.0187258720398,0.282110154628754,0.885618634521961
El Salvador,Latin America and Caribbean,6.00299978256226,45,0.909784495830536,59.6018552780151,0.432452529668808,0.910019040107727
Estonia,Central and Eastern Europe,5.61100006103516,66,1.32087934017181,69.5168316364288,0.479131430387497,0.816751077771187
Ethiopia,Sub-Saharan Africa,4.46000003814697,119,0.339233845472336,35.3409707546234,0.408842742443085,0.834544286131859
Finland,Western Europe,7.4689998626709,5,1.44357192516327,80.915766954422,0.617950856685638,0.61738845705986
France,Western Europe,6.44199991226196,31,1.43092346191406,84.4465851783752,0.470222115516663,0.827497571706772
Gabon,Sub-Saharan Africa,4.46500015258789,118,1.1982102394104,35.6578588485718,0.312328577041626,0.923953212797642
Georgia,Central and Eastern Europe,4.28599977493286,125,0.950612664222717,64.9546980857849,0.309410035610199,0.748333364725113
Germany,Western Europe,6.95100021362305,16,1.48792338371277,79.8950731754303,0.562511384487152,0.723268061876297
Ghana,Sub-Saharan Africa,4.11999988555908,131,0.667224824428558,29.5637726783752,0.423026293516159,0.974663630127907
Greece,Western Europe,5.22700023651123,87,1.28948748111725,81.0198903083801,0.0957312509417534,0.95671022310853
Guatemala,Latin America and Caribbean,6.4539999961853,29,0.872001945972443,54.0239989757538,0.531310617923737,0.922776721417904
Guinea,Sub-Saharan Africa,3.50699996948242,149,0.244549930095673,19.4129139184952,0.348587512969971,0.889062382280827
Haiti,Latin America and Caribbean,3.6029999256134,145,0.368610262870789,27.7321130037308,0.0303698573261499,0.900127850472927
Honduras,Latin America and Caribbean,5.18100023269653,91,0.730573117733002,58.2569479942322,0.348079860210419,0.926654547452927
"Hong Kong S.A.R., China",,5.47200012207031,71,1.55167484283447,94.3062424659729,0.490968644618988,0.706066250801086
Hungary,Central and Eastern Europe,5.32399988174438,75,1.2860119342804,68.7763452529907,0.175863519310951,0.963363062590361
Iceland,Western Europe,7.50400018692017,3,1.480633020401,83.3552122116089,0.627162635326385,0.846473440527916
India,Southern Asia,4.31500005722046,122,0.792221248149872,45.5427616834641,0.469987004995346,0.907773114740849
Indonesia,Southeastern Asia,5.26200008392334,81,0.995538592338562,49.2345720529556,0.443323463201523,0.984682864509523
Iran,Middle East and Northern Africa,4.69199991226196,108,1.15687310695648,63.9333188533783,0.249322608113289,0.951238926500082
Iraq,Middle East and Northern Africa,4.49700021743774,117,1.10271048545837,50.1180469989777,0.288555532693863,0.892784245312214
Ireland,Western Europe,6.97700023651123,15,1.53570663928986,80.978262424469,0.573110342025757,0.70161184668541
Israel,Middle East and Northern Africa,7.21299982070923,11,1.37538242340088,83.840399980545,0.405988603830338,0.914757899940014
Italy,Western Europe,5.96400022506714,48,1.39506661891937,85.3144347667694,0.256450712680817,0.971971908584237
Ivory Coast,Sub-Saharan Africa,4.17999982833862,128,0.603048920631409,4.86421696841717,0.447706192731857,0.869938224554062
Jamaica,Latin America and Caribbean,5.31099987030029,76,0.925579309463501,64.1022384166718,0.474307239055634,0.944732218980789
Japan,Eastern Asia,5.92000007629395,51,1.41691517829895,91.3475871086121,0.505625545978546,0.836239263415337
Jordan,Middle East and Northern Africa,5.33599996566772,74,0.991012394428253,60.4590058326721,0.418421149253845,0.88019672781229
Kazakhstan,Central and Eastern Europe,5.81899976730347,60,1.28455626964569,60.6041550636292,0.437454283237457,0.880717113614082
Kenya,Sub-Saharan Africa,4.55299997329712,112,0.560479462146759,30.9988349676132,0.452763766050339,0.935358680784702
Kosovo,Central and Eastern Europe,5.27899980545044,78,0.951484382152557,54.1452050209045,0.260287940502167,0.942528381943703
Kuwait,Middle East and Northern Africa,6.10500001907349,39,1.63295245170593,63.2105708122253,0.496337592601776,0.784840449690819
Kyrgyzstan,Central and Eastern Europe,5.00400018692017,98,0.596220076084137,55.3457796573639,0.454943388700485,0.960560820996761
Latvia,Central and Eastern Europe,5.84999990463257,54,1.26074862480164,63.8566970825195,0.325707912445068,0.926157273352146
Lebanon,Middle East and Northern Africa,5.22499990463257,88,1.07498753070831,73.5081076622009,0.288515985012054,0.962486170232296
Lesotho,Sub-Saharan Africa,3.80800008773804,139,0.521021246910095,0,0.390661299228668,0.880905359983444
Liberia,Sub-Saharan Africa,3.53299999237061,148,0.119041793048382,22.9918196797371,0.332881182432175,0.961051750928164
Libya,Middle East and Northern Africa,5.52500009536743,68,1.10180306434631,52.0169019699097,0.465733230113983,0.907389789819717
Lithuania,Central and Eastern Europe,5.90199995040894,52,1.31458234786987,62.894994020462,0.234231784939766,0.988134357146919
Luxembourg,Western Europe,6.86299991607666,18,1.74194359779358,84.5089495182037,0.59662789106369,0.68116557598114
Macedonia,Central and Eastern Europe,5.17500019073486,92,1.06457793712616,64.4948184490204,0.325905978679657,0.939722206443548
Madagascar,Sub-Saharan Africa,3.64400005340576,144,0.305808693170547,37.5223308801651,0.189196765422821,0.932768024504185
Malawi,Sub-Saharan Africa,3.97000002861023,136,0.233442038297653,31.5089583396912,0.466914653778076,0.927288345992565
Malaysia,Southeastern Asia,6.08400011062622,42,1.29121541976929,61.8784427642822,0.402264982461929,0.934399291872978
Mali,Sub-Saharan Africa,4.19000005722046,127,0.476180493831635,16.9365674257278,0.306613743305206,0.895029753446579
Malta,Western Europe,6.52699995040894,27,1.34327983856201,82.1944236755371,0.588767051696777,0.846933931112289
Mauritania,Sub-Saharan Africa,4.29199981689453,123,0.648457288742065,28.5349279642105,0.0960980430245399,0.863042995333672
Mauritius,Sub-Saharan Africa,5.62900018692017,64,1.18939554691315,63.8007462024689,0.491247326135635,0.957818444818258
Mexico,Latin America and Caribbean,6.57800006866455,25,1.15318381786346,70.9978997707367,0.412730008363724,0.867225885391235
Moldova,Central and Eastern Europe,5.83799982070923,56,0.728870630264282,58.9465200901031,0.240729048848152,0.989908713847399
Mongolia,Eastern Asia,4.95499992370605,100,1.02723586559296,55.7783484458923,0.394143968820572,0.967097710818052
Montenegro,Central and Eastern Europe,5.23699998855591,83,1.12112903594971,66.7464673519135,0.194989055395126,0.911825805902481
Morocco,Middle East and Northern Africa,5.2350001335144,84,0.878114581108093,59.771066904068,0.408158332109451,0.91223681718111
Mozambique,Sub-Saharan Africa,4.55000019073486,113,0.234305649995804,10.6654435396194,0.480791091918945,0.820563614368439
Myanmar,Southeastern Asia,4.54500007629395,114,0.367110550403595,39.7522568702698,0.514492034912109,0.811183795332909
Namibia,,4.57399988174438,111,0.964434325695038,33.861181139946,0.520303547382355,0.906853027641773
Nepal,Southern Asia,4.96199989318848,99,0.479820191860199,50.4130780696869,0.440305948257446,0.927024453878403
Netherlands,Western Europe,7.3769998550415,6,1.50394463539124,81.0696125030518,0.585384488105774,0.717338174581528
New Zealand,Australia and New Zealand,7.31400012969971,8,1.40570604801178,81.6759705543518,0.614062130451202,0.617183297872543
Nicaragua,Latin America and Caribbean,6.07100009918213,43,0.737299203872681,65.3095960617065,0.447551846504211,0.869312018156052
Niger,Sub-Saharan Africa,4.02799987792969,135,0.161925330758095,26.850500702858,0.36365869641304,0.861427053809166
Nigeria,Sub-Saharan Africa,5.07399988174438,95,0.783756256103516,5.69157302379608,0.394952565431595,0.973878433927894
North Cyprus,Western Europe,5.80999994277954,61,1.3469113111496,83.4647238254547,0.471203625202179,0.844646647572517
